gameId,teamName,Q,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,assists,steals,blocks,turnovers,foulsPersonal,points,resultado
22000021,Grizzlies,4,6,22,2,11,10,10,3,7,3,2,0,2,9,24,L
22000021,Hawks,1,11,25,3,13,2,2,1,12,5,3,0,3,6,27,W
22000021,Hawks,2,10,23,3,7,8,8,2,9,7,1,1,3,6,31,W
22000021,Hawks,3,9,23,3,6,8,11,6,9,6,0,3,5,3,29,W
22000021,Hawks,4,8,18,4,10,15,17,4,11,5,0,1,4,5,35,W
22000022,Hornets,1,9,18,3,7,7,9,1,9,7,1,2,4,4,28,L
22000022,Hornets,2,12,24,2,7,5,8,4,6,8,2,2,3,7,31,L
22000022,Hornets,3,6,29,1,8,3,5,7,9,3,4,3,3,4,16,L
22000022,Hornets,4,10,22,7,10,5,10,1,10,9,4,1,3,7,32,L
22000022,Thunder,1,11,24,2,10,2,2,3,9,8,3,1,2,5,26,W
22000022,Thunder,2,11,21,0,6,9,9,1,10,5,2,1,3,5,31,W
22000022,Thunder,3,9,22,2,8,3,5,4,14,6,2,3,6,3,23,W
22000022,Thunder,4,9,21,6,12,5,8,1,12,6,3,2,5,8,29,W
22000023,Cavaliers,1,11,22,4,7,0,1,1,8,4,2,1,6,3,26,W
22000023,Cavaliers,2,13,24,1,8,6,8,1,13,9,2,1,1,5,33,W
22000023,Cavaliers,3,9,24,3,7,1,4,2,7,8,4,0,4,7,22,W
22000023,Cavaliers,4,5,14,2,5,8,12,2,10,4,3,2,6,5,20,W
22000023,Cavaliers,5,5,8,1,1,0,0,1,2,1,2,0,1,2,11,W
22000023,Cavaliers,6,5,7,2,2,4,5,0,4,3,0,0,0,2,16,W
22000023,Pistons,1,9,22,4,9,4,6,1,11,6,1,1,4,3,26,L
22000023,Pistons,2,8,22,5,11,6,9,2,10,6,1,0,3,5,27,L
